case,prompt_id,seed,step,model,baseline_guided_noise_error,residual_relative_l1,corrected_feature_relative_l1,guided_noise_error,recovery_fraction,milliseconds
nature_seed202,nature,202,18,channel_affine,0.13643896579742432,0.8858910202980042,0.226111501455307,0.11874305456876755,0.129698368242768,1400.0360107421875
nature_seed202,nature,202,18,oracle,0.13643896579742432,0.0,0.0,0.07824572920799255,0.42651478812755944,1413.4324951171875
objects_seed101,objects,101,4,channel_mean,0.16595271229743958,0.998521625995636,0.717413067817688,0.17361323535442352,-0.04616087890901039,1098.1641845703125
objects_seed101,objects,101,4,channel_affine,0.16595271229743958,0.9815582036972046,0.7052252292633057,0.16662585735321045,-0.004056246182734187,1094.0767822265625
objects_seed101,objects,101,4,oracle,0.16595271229743958,0.0,0.0,0.01959211565554142,0.8819415761013525,1179.976806640625
objects_seed101,objects,101,9,channel_mean,0.06973762810230255,0.9944117069244385,0.30446657538414,0.07009663432836533,-0.005147955785592903,1354.0469970703125
objects_seed101,objects,101,9,channel_affine,0.06973762810230255,1.0053067207336426,0.3078024089336395,0.0691833570599556,0.007947948007836731,1348.095458984375
objects_seed101,objects,101,9,oracle,0.06973762810230255,0.0,0.0,0.02368820272386074,0.6603239403394819,1364.1485595703125
objects_seed101,objects,101,12,channel_mean,0.0792541429400444,0.9804843664169312,0.21810956299304962,0.07861626148223877,0.008048556632404561,1408.046630859375
objects_seed101,objects,101,12,channel_affine,0.0792541429400444,0.9902766942977905,0.22028787434101105,0.07709256559610367,0.02727399809970772,1405.039794921875
objects_seed101,objects,101,12,oracle,0.0792541429400444,0.0,0.0,0.026360956951975822,0.6673870163239564,1410.731201171875
objects_seed101,objects,101,15,channel_mean,0.08359766006469727,0.9530625939369202,0.1931201070547104,0.07677827030420303,0.08157393107913094,1441.5093994140625
objects_seed101,objects,101,15,channel_affine,0.08359766006469727,0.951839029788971,0.19287216663360596,0.07477075606584549,0.10558793143277606,1438.3546142578125
objects_seed101,objects,101,15,oracle,0.08359766006469727,0.0,0.0,0.03564856946468353,0.5735697693321241,1444.00927734375
objects_seed101,objects,101,18,channel_mean,0.12690651416778564,0.8629818558692932,0.19830749928951263,0.10960004478693008,0.13637179694317605,1463.5523681640625
objects_seed101,objects,101,18,channel_affine,0.12690651416778564,0.8366649150848389,0.19226005673408508,0.10464208573102951,0.175439602787607,1460.492919921875
objects_seed101,objects,101,18,oracle,0.12690651416778564,0.0,0.0,0.07033350318670273,0.4457849256365722,1464.622802734375
