case_id,step,age,kind,baseline_guided_noise_error,guided_noise_error,error_reduction,recovery_fraction,milliseconds
animal_seed0,12,2,suffix_only,0.09670108556747437,0.0957142561674118,0.000986829400062561,0.01020494645196086,1442.5340576171875
animal_seed0,12,2,activation_plus_suffix,0.09670108556747437,0.03243871033191681,0.06426237523555756,0.6645465752369212,1454.781982421875
animal_seed0,15,2,activation_only,0.11785932630300522,0.11785932630300522,0.0,0.0,433.7921447753906
animal_seed0,15,2,suffix_only,0.11785932630300522,0.11298028379678726,0.0048790425062179565,0.04139716948385059,1494.346435546875
animal_seed0,15,2,activation_plus_suffix,0.11785932630300522,0.04674741253256798,0.07111191377043724,0.6033626357884926,1495.65771484375
animal_seed0,18,2,activation_only,0.17912296950817108,0.17912296950817108,0.0,0.0,452.57135009765625
animal_seed0,18,2,suffix_only,0.17912296950817108,0.167374849319458,0.011748120188713074,0.06558689944104103,1525.391357421875
animal_seed0,18,2,activation_plus_suffix,0.17912296950817108,0.08544551581144333,0.09367745369672775,0.5229784541532763,1525.2333984375
animal_seed1,4,2,activation_only,0.17706084251403809,0.17706084251403809,0.0,0.0,366.1017150878906
animal_seed1,4,2,suffix_only,0.17706084251403809,0.1819961965084076,-0.004935353994369507,-0.027873774485051444,1126.86474609375
animal_seed1,4,2,activation_plus_suffix,0.17706084251403809,0.022896546870470047,0.15416429564356804,0.8706854291136974,1215.5771484375
animal_seed1,9,2,activation_only,0.08612292259931564,0.08612292259931564,0.0,0.0,405.9948425292969
animal_seed1,9,2,suffix_only,0.08612292259931564,0.08573462814092636,0.0003882944583892822,0.0045086075422197495,1388.765625
animal_seed1,9,2,activation_plus_suffix,0.08612292259931564,0.025582330301404,0.060540592297911644,0.7029556182106704,1390.0645751953125
animal_seed1,12,2,activation_only,0.08877876400947571,0.08877876400947571,0.0,0.0,423.7783508300781
animal_seed1,12,2,suffix_only,0.08877876400947571,0.08805200457572937,0.0007267594337463379,0.008186185534963834,1451.644775390625
animal_seed1,12,2,activation_plus_suffix,0.08877876400947571,0.03158250078558922,0.05719626322388649,0.6442561333449259,1460.0867919921875
animal_seed1,15,2,activation_only,0.11871221661567688,0.11871221661567688,0.0,0.0,450.69854736328125
animal_seed1,15,2,suffix_only,0.11871221661567688,0.11623264849185944,0.002479568123817444,0.020887219483441077,1509.6436767578125
animal_seed1,15,2,activation_plus_suffix,0.11871221661567688,0.04197942465543747,0.07673279196023941,0.6463765410821775,1514.80224609375
animal_seed1,18,2,activation_only,0.1405792087316513,0.1405792087316513,0.0,0.0,470.8227844238281
animal_seed1,18,2,suffix_only,0.1405792087316513,0.13579659163951874,0.004782617092132568,0.03402079962807306,1555.0806884765625
animal_seed1,18,2,activation_plus_suffix,0.1405792087316513,0.0671810507774353,0.073398157954216,0.522112470374792,1558.56103515625
interior_seed0,4,2,activation_only,0.11274353414773941,0.11274353414773941,0.0,0.0,366.3696594238281
interior_seed0,4,2,suffix_only,0.11274353414773941,0.11247493326663971,0.00026860088109970093,0.0023824060788064853,1104.308837890625
interior_seed0,4,2,activation_plus_suffix,0.11274353414773941,0.013149552047252655,0.09959398210048676,0.8833675727246456,1189.200927734375
interior_seed0,9,2,activation_only,0.09188322722911835,0.09188322722911835,0.0,0.0,410.838134765625
interior_seed0,9,2,suffix_only,0.09188322722911835,0.09204747527837753,-0.0001642480492591858,-0.0017875737957007086,1415.1761474609375
interior_seed0,9,2,activation_plus_suffix,0.09188322722911835,0.023296978324651718,0.06858624890446663,0.7464501517065917,1435.274658203125
interior_seed0,12,2,activation_only,0.08266641199588776,0.08266641199588776,0.0,0.0,435.3036804199219
interior_seed0,12,2,suffix_only,0.08266641199588776,0.08135495334863663,0.0013114586472511292,0.015864467993559072,1490.2110595703125
interior_seed0,12,2,activation_plus_suffix,0.08266641199588776,0.03629311919212341,0.04637329280376434,0.5609689798327183,1494.2073974609375
interior_seed0,15,2,activation_only,0.10022764652967453,0.10022764652967453,0.0,0.0,453.26995849609375
interior_seed0,15,2,suffix_only,0.10022764652967453,0.09525345265865326,0.004974193871021271,0.04962896010482053,1529.888916015625
interior_seed0,15,2,activation_plus_suffix,0.10022764652967453,0.04743872582912445,0.05278892070055008,0.5266902150088977,1530.4718017578125
interior_seed0,18,2,activation_only,0.15104755759239197,0.15104755759239197,0.0,0.0,466.9276428222656
